"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"ASAH1",9.39295926949192e-09,0.671687368861837,0.937,0.725,0.000141016497512882,"Significant"
"CLCN7",9.62522897946977e-09,0.35096498650607,1,1,0.00014450356266878,"Significant"
"ELF1",9.63374037491627e-09,0.512798643972713,0.987,0.888,0.000144631344248618,"Significant"
"BCL11A",9.75772530479717e-09,2.70537717540614,0.192,0.034,0.00014649273000092,"Significant"
"SYNE3",9.79336662717745e-09,1.54314341035984,0.468,0.348,0.000147027813173815,"Significant"
"SFRP4",1.04108927623855e-08,1.3599618170605,0.56,0.429,0.000156298733041693,"Significant"
"AKR1A1",1.04816796052236e-08,0.529472247824488,0.985,0.876,0.000157361455913222,"Significant"
"EVA1B",1.07012143728423e-08,0.889431302314832,0.672,0.588,0.000160657331379482,"Significant"
"PAFAH1B1",1.12199300782554e-08,0.594389376010446,0.943,0.768,0.000168444810264848,"Significant"
"PCSK7",1.16472556105057e-08,0.682701737438245,0.943,0.815,0.000174860248480522,"Significant"
"CDC42EP3",1.20613877149811e-08,1.9140272835447,0.274,0.094,0.000181077613765011,"Significant"
"PBX4",1.23085194726769e-08,2.36434025757107,0.204,0.043,0.000184787802843298,"Significant"
"LY9",1.24623938644611e-08,2.50977069709264,0.203,0.043,0.000187097919087154,"Significant"
"SELPLG",1.2521216044674e-08,1.64187423309998,0.413,0.258,0.000187981016478691,"Significant"
"S1PR4",1.27297645592317e-08,2.9027601723552,0.175,0.026,0.000191111955327746,"Significant"
"SPNS2",1.34874629716154e-08,1.96841158123994,0.355,0.197,0.000202487281592862,"Significant"
"ST3GAL2",1.39121467782154e-08,0.998718146075221,0.606,0.489,0.000208863059581347,"Significant"
"SH3PXD2A",1.42100775631238e-08,0.682660572270796,0.866,0.738,0.000213335894455177,"Significant"
"TLE5",1.46477708293636e-08,0.456208277941415,0.998,0.944,0.000219906983461236,"Significant"
"PPP1R16B",1.65250931112483e-08,2.12987500393405,0.254,0.082,0.000248091222879171,"Significant"
"ELN",1.66973048025701e-08,1.78950197412363,0.403,0.262,0.000250676637000985,"Significant"
"ECM1",1.71080141000761e-08,1.00114168981185,0.61,0.472,0.000256842615684443,"Significant"
"HIPK2",1.80332713288129e-08,0.459566159310868,0.989,0.914,0.000270733502459469,"Significant"
"MAP4K1",1.82568260487721e-08,1.85076239008668,0.403,0.258,0.000274089729470216,"Significant"
"GABARAP",1.85697008227383e-08,0.469814927128372,0.985,0.957,0.00027878691845177,"Significant"
"LCK",1.96445083536122e-08,2.26664358368394,0.214,0.052,0.00029492300391278,"Significant"
"ATP13A1",2.04871043170907e-08,0.461140365026474,0.98,0.923,0.000307572897112482,"Significant"
"LIMS2",2.06475692226189e-08,1.06575827305818,0.635,0.511,0.000309981956739178,"Significant"
"TCF7",2.10461574960214e-08,1.3902770467547,0.586,0.455,0.00031596596248777,"Significant"
"TNFSF13B",2.23927742859157e-08,1.57703928270368,0.394,0.236,0.000336182720354452,"Significant"
"RGS12",2.32697648312411e-08,0.746528877275912,0.748,0.614,0.000349348979411422,"Significant"
"CLIC3",2.39610299402928e-08,1.76806244362208,0.309,0.124,0.000359726942493615,"Significant"
"LIX1L",2.59497080379261e-08,1.36674274778638,0.462,0.343,0.000389582966773384,"Significant"
"MXRA7",2.63127916880304e-08,1.13899814180923,0.564,0.433,0.0003950339416124,"Significant"
"ZBED1",2.68903589037655e-08,0.559500933432254,0.956,0.824,0.000403704958222232,"Significant"
