"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"SPATA5L1",4.4181873950675e-10,-0.969560478982363,0.168,0.391,6.63302473621484e-06,"Significant"
"TBCEL",4.42595513014156e-10,-1.22062224315008,0.105,0.292,6.64468643688153e-06,"Significant"
"POU2F3",4.44139735947464e-10,-1.94760374874366,0.046,0.185,6.66786985577928e-06,"Significant"
"TOMM40",4.47167647799379e-10,-0.472564504776249,0.943,0.931,6.71332789641208e-06,"Significant"
"HPN",4.5364793203326e-10,-0.542953832667647,0.864,0.854,6.81061640361533e-06,"Significant"
"PTPMT1",4.61342909080983e-10,-2.03619767201265,0.044,0.18,6.9261410940328e-06,"Significant"
"PCMT1",4.6145166998258e-10,-0.501523069777389,0.831,0.833,6.92777392144847e-06,"Significant"
"XYLB",4.72782498821473e-10,-0.765507304495903,0.387,0.622,7.09788365480678e-06,"Significant"
"PPP1R32",4.77714638791977e-10,-1.4699817120868,0.079,0.245,7.17192987218395e-06,"Significant"
"UNC13B",4.80680858566541e-10,-0.998229821813633,0.145,0.361,7.21646172965949e-06,"Significant"
"IKZF2",4.86470896183177e-10,-0.629227743184393,0.676,0.79,7.30338756439804e-06,"Significant"
"AUNIP",4.89394436871154e-10,-2.90867823683534,0.015,0.116,7.34727868074664e-06,"Significant"
"MTX2",4.90792761026048e-10,-1.88113577687841,0.053,0.197,7.36827172128406e-06,"Significant"
"C1GALT1C1",4.93995716389717e-10,-0.909834705867919,0.149,0.369,7.41635769015882e-06,"Significant"
"CRLF1",5.01327559920035e-10,-1.7660563796846,0.055,0.202,7.52643065707949e-06,"Significant"
"ZNF497",5.04551500942945e-10,-2.30308440334205,0.029,0.15,7.57483168365644e-06,"Significant"
"WNT5A",5.17243625867285e-10,-1.01957472421199,0.142,0.352,7.76537855514556e-06,"Significant"
"MIEF2",5.18241549773039e-10,-0.830970062291151,0.179,0.421,7.78036038674263e-06,"Significant"
"CKS1B",5.19613122209247e-10,-0.662057432493533,0.862,0.815,7.80095180372743e-06,"Significant"
"TMEM237",5.21404433553459e-10,-1.85138843348436,0.053,0.197,7.82784476093807e-06,"Significant"
"RPGRIP1L",5.24026687022195e-10,-1.28773643900862,0.085,0.258,7.86721265226422e-06,"Significant"
"TRMT5",5.26643770326956e-10,-1.4550874967871,0.074,0.236,7.90650292391859e-06,"Significant"
"EFCAB8",5.43417811273408e-10,-2.34990526009505,0.028,0.146,8.15833160064768e-06,"Significant"
"FAAH",5.43418628390074e-10,-0.387200766772963,0.961,0.94,8.15834386802018e-06,"Significant"
"ING3",5.47912457896469e-10,-0.882926832404403,0.133,0.348,8.22580973039969e-06,"Significant"
"ANKRD42",5.51865059019751e-10,-1.12108656959917,0.087,0.266,8.28515013106353e-06,"Significant"
"SNRPA1",5.58358874715499e-10,-0.574370212734702,0.738,0.794,8.38264178610378e-06,"Significant"
"CEP162",5.66035691396717e-10,-1.92844149165677,0.052,0.193,8.49789383493892e-06,"Significant"
"DSC2",5.70250778975752e-10,-1.7660563796846,0.061,0.21,8.56117494476296e-06,"Significant"
"SMC6",5.72396636033202e-10,-0.960386470668961,0.118,0.322,8.59339069676646e-06,"Significant"
"PIGF",5.84217695929741e-10,-0.746691054817668,0.157,0.391,8.77086026899321e-06,"Significant"
"RAB6B",5.89299528391161e-10,-1.10397732429781,0.136,0.339,8.84715381973651e-06,"Significant"
"RBAK",5.99979012650944e-10,-1.17818697682968,0.083,0.258,9.00748491692862e-06,"Significant"
"SNW1",6.1040770191036e-10,-0.894121418472895,0.188,0.425,9.16405082878024e-06,"Significant"
"XPA",6.18316466801078e-10,-0.72466474848767,0.169,0.412,9.28278511608458e-06,"Significant"
"ATPSCKMT",6.22566517806363e-10,-0.500343777916754,0.831,0.841,9.34659113182692e-06,"Significant"
"ARPC5L",6.28039668245378e-10,-0.278711978412498,0.998,1,9.42875953936786e-06,"Significant"
"TPX2",6.28745591783013e-10,-0.674185263698241,0.877,0.815,9.43935756943837e-06,"Significant"
"RHOC",6.32652955365898e-10,-0.210433022337544,1,1,9.49801881890823e-06,"Significant"
"P3H4",6.42021252010281e-10,-1.03559034931756,0.131,0.335,9.63866505643034e-06,"Significant"
"CTXN1",6.52042931949918e-10,-0.549608930736206,0.836,0.824,9.78912053736412e-06,"Significant"
"DCUN1D2",6.5581998205376e-10,-0.91618157499156,0.262,0.494,9.84582539057309e-06,"Significant"
"CTNNA3",6.65638656983246e-10,-0.844864731533049,0.446,0.635,9.99323315728948e-06,"Significant"
"PHLDB3",6.6920095404859e-10,-0.43602207734499,0.948,0.906,1.00467139231315e-05,"Significant"
