"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RBM33",3.1960206258468e-09,0.268526441954719,0.5,0.134,0.000104631323248972,"0","RBM33"
"LMNB1",3.20097960108166e-09,0.197784703592818,0.653,0.224,0.000104793670180211,"0","LMNB1"
"WDR74",3.22730853919228e-09,0.667134299886572,0.531,0.159,0.000105655626956077,"0","WDR74"
"METAP1D",3.23164922446724e-09,0.949943800838044,0.337,0.06,0.000105797732310608,"0","METAP1D"
"TLK1",3.2681529226005e-09,0.264554930624967,0.643,0.204,0.000106992790380095,"0","TLK1"
"RNF2",3.27672570107531e-09,0.632632178938143,0.418,0.095,0.000107273446001804,"0","RNF2"
"ABL1",3.30603796025351e-09,0.497991242243497,0.561,0.169,0.000108233070742779,"0","ABL1"
"WDR44",3.31191671129611e-09,2.26474306114599,0.245,0.025,0.000108425529294412,"0","WDR44"
"NCOA3",3.32303042171623e-09,0.751902814447162,0.398,0.09,0.000108789369946146,"0","NCOA3"
"NFXL1",3.33716599983937e-09,0.198663220581352,0.429,0.1,0.000109252140502741,"0","NFXL1"
"PCSK6",3.3412187901238e-09,1.270705950267,0.276,0.035,0.000109384820751073,"0","PCSK6"
"SUMF2",3.37536627046877e-09,0.47392749997498,0.582,0.184,0.000110502740962607,"0","SUMF2"
"RYBP",3.37565432356284e-09,1.9777190323492,0.316,0.055,0.0001105121712448,"0","RYBP"
"ACTR2",3.38607839981508e-09,0.27310786877488,0.704,0.259,0.000110853434653146,"0","ACTR2"
"PIGK",3.38695663173203e-09,0.478820206385581,0.357,0.07,0.000110882186209643,"0","PIGK"
"PTGFRN",3.39434438666279e-09,1.07158818343699,0.296,0.045,0.000111124046530566,"0","PTGFRN"
"DDX55",3.4196882902205e-09,1.01671867189646,0.418,0.104,0.000111953755245239,"0","DDX55"
"C16orf45",3.42747587101066e-09,0.878637332743039,0.378,0.085,0.000112208705065147,"0","C16orf45"
"NCAPH",3.4331497535487e-09,0.273953956371911,0.49,0.129,0.000112394456631677,"0","NCAPH"
"RAB6A",3.46059880197353e-09,0.71874497474684,0.459,0.114,0.000113293083579009,"0","RAB6A"
"ATN1",3.46172359109524e-09,0.970890883204341,0.347,0.065,0.000113329906925276,"0","ATN1"
"OSBPL10",3.4645606093467e-09,0.443053713441163,0.531,0.149,0.000113422785228792,"0","OSBPL10"
"NSMCE2",3.49471512874827e-09,0.589421119127841,0.959,0.408,0.000114409983884961,"0","NSMCE2"
"NUP85",3.49939499314245e-09,0.325907860373479,0.592,0.189,0.000114563193285498,"0","NUP85"
"KIAA0922",3.51169215560081e-09,0.70184674490161,0.48,0.124,0.000114965777790059,"0","KIAA0922"
"AFF4",3.58802601295378e-09,0.882138343608599,0.418,0.1,0.000117464795612081,"0","AFF4"
"XRRA1",3.58802601295378e-09,0.491966232785616,0.418,0.1,0.000117464795612081,"0","XRRA1"
"MYADM",3.61910871743613e-09,0.530787819437924,0.316,0.05,0.000118482381191424,"0","MYADM"
"IQSEC1",3.64390829369867e-09,1.63418952862469,0.184,0.005,0.000119294269719107,"0","IQSEC1"
"SLC15A4",3.64390829369867e-09,2.71209924446947,0.184,0.005,0.000119294269719107,"0","SLC15A4"
"MPRIP",3.64398464958135e-09,0.408742764710597,0.612,0.204,0.000119296769457994,"0","MPRIP"
"SCAPER",3.65586073962006e-09,1.01654879849174,0.347,0.065,0.000119685568893682,"0","SCAPER"
"PSME3",3.67703889563667e-09,0.290543634444964,0.541,0.159,0.000120378899365353,"0","PSME3"
"RASA2",3.69223480530112e-09,0.659511747651717,0.439,0.104,0.000120876383055948,"0","RASA2"
"ACOT13",3.69369715979475e-09,0.335246630320513,0.49,0.134,0.00012092425761736,"0","ACOT13"
"ATRX",3.7126535951414e-09,0.34265201259753,0.694,0.244,0.000121544853397739,"0","ATRX"
"HMMR",3.71316437582438e-09,0.388012924343784,0.643,0.219,0.000121561575335739,"0","HMMR"
"NT5C3A",3.74329137632275e-09,0.539974449263484,0.592,0.194,0.000122547873078054,"0","NT5C3A"
"LPHN1",3.78487710269727e-09,1.93833231012624,0.286,0.04,0.000123909306588103,"0","LPHN1"
"ATP6V0A1",3.79192497842585e-09,1.7040085068499,0.286,0.045,0.000124140039943705,"0","ATP6V0A1"
"RBM19",3.81174878682791e-09,0.858204721790835,0.347,0.07,0.000124789031783172,"0","RBM19"
"CDK5RAP2",3.81903113960355e-09,0.211330653377965,0.51,0.139,0.000125027441448341,"0","CDK5RAP2"
"VOPP1",3.83029534284239e-09,0.839203921996948,0.327,0.06,0.000125396208933974,"0","VOPP1"
"XPO5",3.84775254287101e-09,0.699605931635503,0.48,0.134,0.000125967722748511,"0","XPO5"
"GPATCH2L",3.89179834814293e-09,0.243013642270219,0.49,0.129,0.000127409694321503,"0","GPATCH2L"
"L2HGDH",3.91539012171226e-09,1.01235980740938,0.306,0.05,0.000128182041804616,"0","L2HGDH"
"MED13",3.91773501554072e-09,0.197388691844646,0.724,0.249,0.000128258808938772,"0","MED13"
"USP32",3.92230518393333e-09,0.195425958568591,0.541,0.149,0.000128408427111609,"0","USP32"
"MTOR",3.92794634383513e-09,0.934648394550398,0.388,0.085,0.000128593107404475,"0","MTOR"
"EIF2AK2",3.95489577555594e-09,0.551636128016651,0.561,0.164,0.00012947537790015,"0","EIF2AK2"
"RACGAP1",3.98504340364261e-09,0.571697354745282,0.449,0.119,0.000130462350948452,"0","RACGAP1"
"MACF1",4.00172198162261e-09,0.547878281798384,0.612,0.194,0.000131008374234361,"0","MACF1"
"MYBBP1A",4.00660089801495e-09,0.412048709143022,0.418,0.104,0.000131168100199214,"0","MYBBP1A"
"SOGA1",4.03222579133013e-09,1.1722687220033,0.276,0.035,0.000132007007956566,"0","SOGA1"
"NOM1",4.05363340340884e-09,0.212650521924859,0.469,0.124,0.000132707850360799,"0","NOM1"
"DCBLD1",4.05971262126696e-09,0.756853558633926,0.296,0.045,0.000132906871795038,"0","DCBLD1"
"PDE3B",4.07644218639626e-09,0.920961196631913,0.347,0.065,0.000133454564298241,"0","PDE3B"
"PHACTR4",4.16922309715223e-09,0.577375996855187,0.612,0.199,0.00013649202575457,"0","PHACTR4"
"PTPLB",4.19403227807214e-09,0.767485290467924,0.408,0.1,0.000137304228719526,"0","PTPLB"
"CKAP2L",4.21353163085764e-09,1.72946271052704,0.286,0.045,0.000137942598531017,"0","CKAP2L"
"SH3KBP1",4.21690695377484e-09,0.214122628528671,0.551,0.169,0.000138053099852681,"0","SH3KBP1"
"TARS",4.25617575662674e-09,0.317079270252582,0.765,0.269,0.000139338681920446,"0","TARS"
"AC007319.1",4.26346472894007e-09,5.78649222066775,0.163,0,0.00013957730829604,"0","AC007319.1"
"TTLL5",4.34442532401432e-09,0.340171228914252,0.367,0.075,0.000142227796257581,"0","TTLL5"
"CMSS1",4.37199759007979e-09,0.441262425442851,0.929,0.388,0.000143130457104032,"0","CMSS1"
"CTDSPL",4.37683234421338e-09,0.374096172153639,0.459,0.114,0.000143288737284858,"0","CTDSPL"
"GAPVD1",4.42662848222195e-09,0.720276290365346,0.49,0.134,0.000144918963250982,"0","GAPVD1"
"DCUN1D2",4.4629467589781e-09,0.992020438766913,0.306,0.05,0.000146107950995425,"0","DCUN1D2"
"ANLN",4.48673370789807e-09,0.363838672991741,0.602,0.189,0.000146886688129167,"0","ANLN"
"HDAC8",4.51499866697907e-09,1.13883386253702,0.408,0.095,0.000147812026359561,"0","HDAC8"
"SPRY4",4.52662359671875e-09,1.21475644985329,0.255,0.03,0.000148192603309378,"0","SPRY4"
"HSDL2",4.56244579061601e-09,0.157616884405088,0.49,0.129,0.000149365350293187,"0","HSDL2"
"PIBF1",4.57684736201457e-09,0.848375943740092,0.551,0.174,0.000149836828937633,"0","PIBF1"
"CEP120",4.58867474930226e-09,2.26155937378556,0.265,0.035,0.000150224033942657,"0","CEP120"
"FAM222B",4.61224922136453e-09,0.322350334902265,0.408,0.09,0.000150995815009032,"0","FAM222B"
"UHRF1BP1L",4.62006809808173e-09,1.00030330444854,0.316,0.055,0.000151251789395,"0","UHRF1BP1L"
"ARID4A",4.63107676722973e-09,3.00498202993887,0.214,0.015,0.000151612191205567,"0","ARID4A"
"ANK3",4.63866032274135e-09,1.14805882872104,0.367,0.075,0.000151860461645906,"0","ANK3"
"CBR4",4.65640854494862e-09,1.06531641600584,0.5,0.154,0.000152441502944528,"0","CBR4"
"FAM175B",4.68543869201033e-09,0.376250475332315,0.408,0.095,0.000153391891899034,"0","FAM175B"
"CAPN15",4.7012289832819e-09,2.33601289816226,0.235,0.025,0.000153908834454683,"0","CAPN15"
"SNX1",4.70668367792725e-09,0.590921831038587,0.378,0.08,0.000154087410247982,"0","SNX1"
"SLK",4.77388110893366e-09,0.375444799999834,0.49,0.129,0.00015628731974427,"0","SLK"
"DDX60L",4.77952387656136e-09,0.508045061345419,0.796,0.289,0.000156472052670866,"0","DDX60L"
"ZC3H13",4.81591850594135e-09,0.141689233019507,0.714,0.239,0.000157663540047508,"0","ZC3H13"
"SCAI",4.85301944096089e-09,0.477684399238136,0.541,0.164,0.000158878150458178,"0","SCAI"
"FNBP1L",4.86420072323874e-09,0.49452471009507,0.459,0.124,0.00015924420327739,"0","FNBP1L"
"TRAF3IP2-AS1",4.89095606169774e-09,1.54392876581648,0.214,0.015,0.00016012011954786,"0","TRAF3IP2-AS1"
"HSPA1B",4.89395088454508e-09,0.286772951061207,0.633,0.219,0.000160218164058237,"0","HSPA1B"
"CD97",4.89898738884463e-09,1.68369249799715,0.245,0.03,0.000160383049135995,"0","CD97"
"RP11-297P16.3",4.90883137614913e-09,1.25788353243839,0.255,0.03,0.00016070532159237,"0","RP11-297P16.3"
"C2CD2",4.90883137614913e-09,1.87490133490346,0.255,0.03,0.00016070532159237,"0","C2CD2"
"DENND1B",4.97671172300666e-09,1.35944071241153,0.286,0.04,0.000162927588387792,"0","DENND1B"
"SZT2",5.07203509178723e-09,2.40772794930627,0.214,0.015,0.00016604828483493,"0","SZT2"
"FBXO42",5.07300979756551e-09,0.674687132682093,0.398,0.085,0.0001660801947527,"0","FBXO42"
"RRBP1",5.08377070641546e-09,0.330114664667449,0.592,0.174,0.000166432485386629,"0","RRBP1"
"CCSER2",5.09397577217701e-09,0.703717443629584,0.398,0.095,0.000166766578829531,"0","CCSER2"
"RALGAPB",5.13320055155882e-09,1.10203696205464,0.327,0.06,0.000168050719656933,"0","RALGAPB"
"SLAIN2",5.1544954953414e-09,0.519556484315042,0.449,0.119,0.000168747873526487,"0","SLAIN2"
"C17orf85",5.15891115474805e-09,0.342962962502515,0.439,0.114,0.000168892433384142,"0","C17orf85"
"ADAM10",5.21583773208441e-09,0.714134848680314,0.48,0.124,0.000170756095672979,"0","ADAM10"
"CRIM1",5.24053355889603e-09,0.397130438347301,0.51,0.144,0.000171564587651138,"0","CRIM1"
"TAF3",5.27565971475334e-09,0.849170927373998,0.469,0.129,0.000172714547741595,"0","TAF3"
"CD164",5.28533276856181e-09,0.398494987332086,0.541,0.169,0.000173031224177176,"0","CD164"
"ANKRD46",5.31578244367026e-09,1.48656304482633,0.286,0.045,0.000174028085640877,"0","ANKRD46"
"IPO5",5.32533842290304e-09,0.428470000937389,0.765,0.289,0.000174340929289,"0","IPO5"
"ZFYVE16",5.35279660883832e-09,0.394798249845214,0.378,0.08,0.000175239855380149,"0","ZFYVE16"
"ST3GAL6",5.38344020332273e-09,1.60910373424162,0.367,0.08,0.00017624306537638,"0","ST3GAL6"
"MLF1",5.40037359767668e-09,0.851061014568508,0.408,0.104,0.000176797430840739,"0","MLF1"
"MTFR1",5.41630807968241e-09,0.733908764106689,0.429,0.109,0.000177319093912643,"0","MTFR1"
"ZNF592",5.46058487852269e-09,0.650052185464086,0.296,0.045,0.000178768627753076,"0","ZNF592"
"GPATCH8",5.58403210590811e-09,0.559470730800031,0.531,0.154,0.00018281004308322,"0","GPATCH8"
"INVS",5.61238749317157e-09,0.621077657187423,0.51,0.149,0.000183738341751451,"0","INVS"
"C16orf87",5.64547957541671e-09,1.37353964268852,0.296,0.05,0.000184821710339992,"0","C16orf87"
"TBC1D8",5.70567426597313e-09,0.654168733914105,0.408,0.095,0.000186792364119428,"0","TBC1D8"
"MAST2",5.76561312266921e-09,0.922181221476629,0.48,0.139,0.000188754642409945,"0","MAST2"
"INTS9",5.77076212645633e-09,1.23239903653652,0.286,0.045,0.000188923210495927,"0","INTS9"
"MYO10",5.78648477363977e-09,0.478517547929005,0.51,0.144,0.000189437938519419,"0","MYO10"
"FAM193A",5.79498685820933e-09,1.20290845191082,0.316,0.055,0.000189716279764057,"0","FAM193A"
"SLC30A7",5.89315077341237e-09,0.709354890651358,0.367,0.08,0.000192929970019974,"0","SLC30A7"
"AP3M2",5.93979826898904e-09,1.00301298488264,0.337,0.065,0.000194457115730163,"0","AP3M2"
"UBE4B",5.97937278619315e-09,0.678896997706439,0.469,0.129,0.000195752706274391,"0","UBE4B"
"GPSM2",5.98644223107522e-09,0.703367978850049,0.418,0.1,0.000195984145760941,"0","GPSM2"
"ANKRD12",5.99610418430282e-09,0.700573855068794,0.49,0.134,0.000196300458785706,"0","ANKRD12"
"FAM129B",6.04720740394527e-09,0.310203676784237,0.367,0.08,0.00019797347599036,"0","FAM129B"
"AP1M2",6.09609833441578e-09,0.662892295209071,0.408,0.104,0.000199574067272104,"0","AP1M2"
"METTL8",6.10827813994454e-09,0.104016965715729,0.602,0.189,0.000199972809745504,"0","METTL8"
