"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ST5",0.000377693784870816,0.227651589891248,0.133,0.025,1,"0","ST5"
"GLT8D1",0.000378705968249106,0.282700247275386,0.245,0.085,1,"0","GLT8D1"
"TMEM57",0.000381332717510632,0.574448187506152,0.153,0.035,1,"0","TMEM57"
"C16orf80",0.000382152661696516,0.157980489876958,0.245,0.085,1,"0","C16orf80"
"CHAF1B",0.000387149972981747,0.399051083828843,0.255,0.095,1,"0","CHAF1B"
"SNAPC2",0.000388134790755029,0.473958500100316,0.214,0.07,1,"0","SNAPC2"
"7SK.2",0.000389496543358582,2.09521369926766,0.173,0.045,1,"0","7SK.2"
"PPAP2A",0.000390561854591599,0.546110854964659,0.153,0.035,1,"0","PPAP2A"
"CD2BP2",0.000391429658713843,0.180407384409381,0.286,0.114,1,"0","CD2BP2"
"COL18A1",0.000393829851330383,0.299916964540017,0.173,0.045,1,"0","COL18A1"
"VCPKMT",0.000395350029274881,0.132037109793689,0.163,0.04,1,"0","VCPKMT"
"B3GNTL1",0.000396136362496523,0.120038031235004,0.184,0.05,1,"0","B3GNTL1"
"STK17B",0.000401721655636241,0.849293019614815,0.143,0.03,1,"0","STK17B"
"DPM2",0.000407315456309006,0.189502581930501,0.286,0.109,1,"0","DPM2"
"PINK1-AS",0.000408323848531904,3.82500354613223,0.061,0,1,"0","PINK1-AS"
"TMEM234",0.000408323848531904,4.07592895789765,0.061,0,1,"0","TMEM234"
"RP11-415J8.5",0.000408323848531904,3.95439837960441,0.061,0,1,"0","RP11-415J8.5"
"NBPF9",0.000408323848531904,4.54243366862348,0.061,0,1,"0","NBPF9"
"ETV3",0.000408323848531904,3.9301748427247,0.061,0,1,"0","ETV3"
"RP11-739N20.2",0.000408323848531904,4.4261648763708,0.061,0,1,"0","RP11-739N20.2"
"ALK",0.000408323848531904,3.94861332668474,0.061,0,1,"0","ALK"
"AC007040.11",0.000408323848531904,4.28135314410351,0.061,0,1,"0","AC007040.11"
"TTN",0.000408323848531904,4.43308625502228,0.061,0,1,"0","TTN"
"BTD",0.000408323848531904,4.42592577618666,0.061,0,1,"0","BTD"
"CD96",0.000408323848531904,4.94537136943672,0.061,0,1,"0","CD96"
"RP11-692D12.1",0.000408323848531904,4.05453508893912,0.061,0,1,"0","RP11-692D12.1"
"MAPK10",0.000408323848531904,4.23418010390006,0.061,0,1,"0","MAPK10"
"RP11-10L12.4",0.000408323848531904,4.39399709773426,0.061,0,1,"0","RP11-10L12.4"
"RP11-269F21.3",0.000408323848531904,4.73279677739186,0.061,0,1,"0","RP11-269F21.3"
"EDNRA",0.000408323848531904,3.83715779760115,0.061,0,1,"0","EDNRA"
"VCAN-AS1",0.000408323848531904,4.84900780232797,0.061,0,1,"0","VCAN-AS1"
"ARHGEF37",0.000408323848531904,4.18513878089745,0.061,0,1,"0","ARHGEF37"
"CPLX2",0.000408323848531904,4.05714757271132,0.061,0,1,"0","CPLX2"
"UNC5A",0.000408323848531904,3.773251710954,0.061,0,1,"0","UNC5A"
"SYCP2L",0.000408323848531904,3.87483593562219,0.061,0,1,"0","SYCP2L"
"GPER1",0.000408323848531904,4.16998052842884,0.061,0,1,"0","GPER1"
"STAG3",0.000408323848531904,4.20388692753418,0.061,0,1,"0","STAG3"
"ZCWPW1",0.000408323848531904,3.91908826914433,0.061,0,1,"0","ZCWPW1"
"POT1-AS1",0.000408323848531904,3.89788309990227,0.061,0,1,"0","POT1-AS1"
"PRKAG2-AS1",0.000408323848531904,3.57729167912528,0.061,0,1,"0","PRKAG2-AS1"
"CDKL5",0.000408323848531904,3.66256269614275,0.061,0,1,"0","CDKL5"
"MUM1L1",0.000408323848531904,3.70758815375505,0.061,0,1,"0","MUM1L1"
"MID2",0.000408323848531904,4.18185412645544,0.061,0,1,"0","MID2"
"OMD",0.000408323848531904,4.39066318772263,0.061,0,1,"0","OMD"
"SOX6",0.000408323848531904,3.90825652767168,0.061,0,1,"0","SOX6"
"RP11-406D1.2",0.000408323848531904,4.40066155467513,0.061,0,1,"0","RP11-406D1.2"
"RP11-843A23.1",0.000408323848531904,4.39077326033973,0.061,0,1,"0","RP11-843A23.1"
"RP11-977G19.10",0.000408323848531904,4.10509044331208,0.061,0,1,"0","RP11-977G19.10"
"RP11-585P4.5",0.000408323848531904,4.56022898035713,0.061,0,1,"0","RP11-585P4.5"
"ACACB",0.000408323848531904,3.69904999350827,0.061,0,1,"0","ACACB"
"FGF9",0.000408323848531904,4.10713972913004,0.061,0,1,"0","FGF9"
"LTB4R",0.000408323848531904,4.13439405206194,0.061,0,1,"0","LTB4R"
"RAB15",0.000408323848531904,3.75129112335824,0.061,0,1,"0","RAB15"
"CATSPERB",0.000408323848531904,4.34662994898245,0.061,0,1,"0","CATSPERB"
"ROGDI",0.000408323848531904,4.41682195976511,0.061,0,1,"0","ROGDI"
"RP11-44I10.3",0.000408323848531904,4.01766689429634,0.061,0,1,"0","RP11-44I10.3"
"BBS2",0.000408323848531904,3.85373153969363,0.061,0,1,"0","BBS2"
"RP5-1085F17.4",0.000408323848531904,4.02913164848065,0.061,0,1,"0","RP5-1085F17.4"
"CTD-3020H12.4",0.000408323848531904,4.12482975166386,0.061,0,1,"0","CTD-3020H12.4"
"CTD-2659N19.10",0.000408323848531904,3.87410169459022,0.061,0,1,"0","CTD-2659N19.10"
"ZNF383",0.000408323848531904,3.97311564628698,0.061,0,1,"0","ZNF383"
"ZNF226",0.000408323848531904,4.21374949929258,0.061,0,1,"0","ZNF226"
"KLK10",0.000408323848531904,3.82239025710295,0.061,0,1,"0","KLK10"
"ZNF888",0.000408323848531904,3.97608007230612,0.061,0,1,"0","ZNF888"
"UBE2D3",0.000415670496643084,0.180658509662701,0.918,0.473,1,"0","UBE2D3"
"MARK1",0.000417009199904739,0.193028161511395,0.143,0.03,1,"0","MARK1"
"SEMA6A",0.000417009199904739,1.24365191357766,0.143,0.03,1,"0","SEMA6A"
"POMT2",0.000421565578981408,3.05760715475552,0.092,0.01,1,"0","POMT2"
"CBY1",0.00042340306449961,0.105533403336577,0.214,0.07,1,"0","CBY1"
"CBWD1",0.000423594935747468,0.516660894203492,0.235,0.085,1,"0","CBWD1"
"KRTCAP2",0.000424197173714064,0.140748685725006,0.194,0.055,1,"0","KRTCAP2"
"EFNA3",0.00042857515918398,0.921373600601936,0.092,0.01,1,"0","EFNA3"
"PLD1",0.00042857515918398,0.80118535152497,0.092,0.01,1,"0","PLD1"
"MBLAC2",0.00042857515918398,2.67626658793081,0.092,0.01,1,"0","MBLAC2"
"CTC-329D1.2",0.00042857515918398,1.92691488850307,0.092,0.01,1,"0","CTC-329D1.2"
"C10orf12",0.00042857515918398,2.23694945900029,0.092,0.01,1,"0","C10orf12"
"STAT2",0.00042857515918398,2.78520493927782,0.092,0.01,1,"0","STAT2"
"SLC9A5",0.00042857515918398,2.3531475800908,0.092,0.01,1,"0","SLC9A5"
"CC2D1A",0.00042857515918398,2.33200666147698,0.092,0.01,1,"0","CC2D1A"
"ZNF808",0.00042857515918398,2.31876595944626,0.092,0.01,1,"0","ZNF808"
"DNM3",0.000429605983776869,0.256710850529861,0.153,0.035,1,"0","DNM3"
"C19orf12",0.000433489272993408,3.39956966773959,0.102,0.015,1,"0","C19orf12"
"RP11-481C4.1",0.000435693441882981,2.8154865993807,0.092,0.01,1,"0","RP11-481C4.1"
"CSRP2BP",0.000435693441882981,2.26642523418992,0.092,0.01,1,"0","CSRP2BP"
"TMEM98",0.000436640748313303,0.49016960182047,0.173,0.05,1,"0","TMEM98"
"HAUS8",0.000440298261672363,0.371255720706758,0.265,0.1,1,"0","HAUS8"
"RP11-418J17.1",0.000446613992047589,0.157858685513645,0.194,0.055,1,"0","RP11-418J17.1"
"PCMTD1",0.000450467112593292,0.297596852411034,0.153,0.035,1,"0","PCMTD1"
"AC119673.1",0.000464478709023137,0.491844410876503,0.173,0.045,1,"0","AC119673.1"
"LRAT",0.000465284849126579,0.568374576688119,0.092,0.01,1,"0","LRAT"
"ARMC2",0.000465284849126579,1.89088954879998,0.092,0.01,1,"0","ARMC2"
"GALNT10",0.000466633779301332,0.448916347099639,0.214,0.065,1,"0","GALNT10"
"SLC9A7",0.000469110295861929,0.522616743075036,0.163,0.04,1,"0","SLC9A7"
"MANBAL",0.000470797700009574,0.393283109140828,0.245,0.09,1,"0","MANBAL"
"DVL1",0.000471345827940782,0.31389636096197,0.327,0.129,1,"0","DVL1"
"KCNK5",0.000472970257814512,2.38924370297307,0.092,0.01,1,"0","KCNK5"
"RAP2C-AS1",0.00047445809768139,0.12635257660128,0.163,0.04,1,"0","RAP2C-AS1"
"PKIG",0.000474977498774789,0.285831576084197,0.245,0.09,1,"0","PKIG"
"TPCN1",0.000479862724728109,0.209112410823838,0.163,0.04,1,"0","TPCN1"
"RP11-362A9.3",0.000480773955535563,1.59479946918076,0.092,0.01,1,"0","RP11-362A9.3"
"ASPSCR1",0.00048083815705254,0.292298530852792,0.235,0.085,1,"0","ASPSCR1"
"HCAR1",0.00048532473085798,0.677021752186498,0.163,0.04,1,"0","HCAR1"
"RP11-385F5.4",0.000488697611635837,2.00897075285654,0.092,0.01,1,"0","RP11-385F5.4"
"ZNF490",0.000488697611635837,1.28843641016927,0.092,0.01,1,"0","ZNF490"
"FTSJ1",0.000496181658943508,0.330580766164663,0.204,0.065,1,"0","FTSJ1"
"CEP68",0.000496423119950484,0.613928835243547,0.163,0.04,1,"0","CEP68"
"CTB-171A8.1",0.000496423119950484,0.156745792311616,0.163,0.04,1,"0","CTB-171A8.1"
"PEX19",0.000496742916506801,1.1789732297455,0.092,0.01,1,"0","PEX19"
"OBSCN",0.000496742916506801,0.859189147907756,0.092,0.01,1,"0","OBSCN"
"AC004041.2",0.000496742916506801,1.75844718754071,0.092,0.01,1,"0","AC004041.2"
"ADAM32",0.000496742916506801,0.534814677078634,0.092,0.01,1,"0","ADAM32"
"HGSNAT",0.000496742916506801,2.00333260000339,0.092,0.01,1,"0","HGSNAT"
"TNKS1BP1",0.000496742916506801,0.518960871756018,0.092,0.01,1,"0","TNKS1BP1"
"VDR",0.000496742916506801,0.673670176966962,0.092,0.01,1,"0","VDR"
"BIVM",0.000496742916506801,1.59790370582341,0.092,0.01,1,"0","BIVM"
"AC004381.6",0.000496742916506801,1.0035689028783,0.092,0.01,1,"0","AC004381.6"
"TMUB2",0.000496742916506801,1.34972845050424,0.092,0.01,1,"0","TMUB2"
"C19orf44",0.000496742916506801,1.23765760252481,0.092,0.01,1,"0","C19orf44"
"SNHG10",0.00050426898578198,1.8954324590141,0.102,0.015,1,"0","SNHG10"
"ATXN1L",0.00050426898578198,2.21062149439758,0.102,0.015,1,"0","ATXN1L"
"SNX11",0.00050426898578198,2.59471686065515,0.102,0.015,1,"0","SNX11"
"SEMA6B",0.00050426898578198,2.11967576340285,0.102,0.015,1,"0","SEMA6B"
"BIRC2",0.000506529067170872,0.253477891429995,0.194,0.06,1,"0","BIRC2"
"INO80C",0.000509228396547305,0.757934810197148,0.224,0.08,1,"0","INO80C"
"COQ10B",0.000512092465252225,0.276591187324151,0.235,0.085,1,"0","COQ10B"
"NSMAF",0.000512933190596802,0.263321819207953,0.286,0.109,1,"0","NSMAF"
"CHRNA5",0.000515750343452674,0.512581413015366,0.296,0.114,1,"0","CHRNA5"
"RP4-758J18.2",0.000519659797656892,2.6301552684497,0.102,0.015,1,"0","RP4-758J18.2"
"SIGIRR",0.000519659797656892,2.38553474765143,0.102,0.015,1,"0","SIGIRR"
"GLCE",0.00052101841973097,0.325360585290449,0.204,0.065,1,"0","GLCE"
"SOGA2",0.000532336223683503,0.241329310450674,0.245,0.085,1,"0","SOGA2"
"MCCC2",0.000532624012463457,0.243475823295979,0.214,0.07,1,"0","MCCC2"
"ABCC2",0.000538508698041268,0.13330857112372,0.255,0.09,1,"0","ABCC2"
"PPP1R11",0.000540378643047169,0.288711875488461,0.235,0.085,1,"0","PPP1R11"
"SHFM1",0.000550538808033337,0.143174264833392,0.949,0.483,1,"0","SHFM1"
"ANKRD9",0.000552876625848498,0.288803328448783,0.184,0.055,1,"0","ANKRD9"
"PPM1A",0.000557740835772137,0.390948847267686,0.204,0.065,1,"0","PPM1A"
"UBALD1",0.000557740835772137,0.367037291740272,0.204,0.065,1,"0","UBALD1"
"JRKL",0.000560073200025116,2.54660411285096,0.102,0.015,1,"0","JRKL"
"CERS4",0.000564413332659045,1.09317479425543,0.153,0.04,1,"0","CERS4"
"DEDD",0.000565034297828186,0.660302813617229,0.163,0.045,1,"0","DEDD"
"ZSWIM5",0.000568499338099287,1.82556899606376,0.102,0.015,1,"0","ZSWIM5"
"IFT43",0.000571853077984416,0.183746822600009,0.255,0.095,1,"0","IFT43"
"TCEA2",0.000574257019654314,1.33172656058723,0.143,0.035,1,"0","TCEA2"
"RABIF",0.000576282469570149,2.32248087209614,0.122,0.025,1,"0","RABIF"
"AC003665.1",0.000577043405554789,0.770182130459843,0.102,0.015,1,"0","AC003665.1"
"CBLC",0.000577441903949465,1.59769739699528,0.153,0.04,1,"0","CBLC"
"PIGM",0.000585706911976444,1.95436997384712,0.102,0.015,1,"0","PIGM"
"OPN3",0.000585706911976444,1.77309190719414,0.102,0.015,1,"0","OPN3"
"THAP9",0.000585706911976444,1.70915081560768,0.102,0.015,1,"0","THAP9"
"ZNF213",0.000585706911976444,1.51173195853122,0.102,0.015,1,"0","ZNF213"
"ZKSCAN2",0.000585706911976444,1.02489765335924,0.102,0.015,1,"0","ZKSCAN2"
"CNEP1R1",0.000585706911976444,1.53938228449009,0.102,0.015,1,"0","CNEP1R1"
"MIER3",0.000588996633404926,0.228051864054117,0.173,0.05,1,"0","MIER3"
"HSDL1",0.000594063451213922,0.274911207713481,0.184,0.055,1,"0","HSDL1"
"PIGT",0.000594063451213922,0.255828460903928,0.184,0.055,1,"0","PIGT"
"DOLK",0.000594152611540966,0.980518776754181,0.133,0.03,1,"0","DOLK"
"PARP12",0.000594491384139291,1.48934395462095,0.102,0.015,1,"0","PARP12"
"OST4",0.000597352325971811,0.104698758196931,0.837,0.413,1,"0","OST4"
"RP11-85F14.5",0.000603398366173728,1.4722567937655,0.102,0.015,1,"0","RP11-85F14.5"
"ZBTB4",0.000603398366173728,1.20097796623986,0.102,0.015,1,"0","ZBTB4"
"CDKN1A",0.000603458389292694,1.4270488975801,0.163,0.045,1,"0","CDKN1A"
"HERPUD2",0.000603458389292694,0.400568577663349,0.163,0.045,1,"0","HERPUD2"
"LETM2",0.00060634540345561,0.370739429691782,0.184,0.055,1,"0","LETM2"
"MKRN1",0.000607068910616472,0.189811103946897,0.255,0.095,1,"0","MKRN1"
"GAS2L3",0.000608500509231296,0.664431991234961,0.204,0.065,1,"0","GAS2L3"
"UBXN2B",0.000610094071721374,0.951652996605359,0.163,0.045,1,"0","UBXN2B"
"CCDC82",0.000610094071721374,1.37191248607454,0.163,0.045,1,"0","CCDC82"
"VAV1",0.000615965439372357,1.16546861370808,0.112,0.02,1,"0","VAV1"
"DEDD2",0.000623569621916115,0.632109063927839,0.163,0.045,1,"0","DEDD2"
"SLC16A9",0.000625279777457046,1.24641035731359,0.153,0.04,1,"0","SLC16A9"
"SLC45A4",0.000627999708107548,0.605302952751188,0.224,0.075,1,"0","SLC45A4"
"IFT52",0.00062801745682214,0.233443195553515,0.224,0.08,1,"0","IFT52"
"WASF1",0.000628087970586813,0.260558767952602,0.255,0.095,1,"0","WASF1"
"TMEM260",0.0006324072507457,1.32890303615616,0.153,0.04,1,"0","TMEM260"
"ELF3",0.000639610243285191,1.33385440117941,0.153,0.04,1,"0","ELF3"
"AKNAD1",0.0006402828924192,1.36737727173682,0.102,0.015,1,"0","AKNAD1"
"RP11-138A9.1",0.0006402828924192,1.85957379281348,0.102,0.015,1,"0","RP11-138A9.1"
"MSI1",0.000646483974558116,0.334442141419044,0.143,0.035,1,"0","MSI1"
"TXNL4A",0.00064969153335471,0.204167233422131,0.786,0.403,1,"0","TXNL4A"
"SRC",0.000654245716082712,0.862522822428462,0.153,0.04,1,"0","SRC"
"CRYZ",0.000656739534455903,1.69976370768102,0.122,0.025,1,"0","CRYZ"
"TPRN",0.000656739534455903,1.20130730003018,0.122,0.025,1,"0","TPRN"
"Z83001.1",0.000659501665918285,1.75394788563295,0.102,0.015,1,"0","Z83001.1"
"WDR13",0.000661907501484005,0.821789789053038,0.143,0.035,1,"0","WDR13"
"MT-CYB",0.000663395318294938,0.33588086277918,0.929,0.761,1,"0","MT-CYB"
"PCDH7",0.000664204918560885,0.258556587508736,0.959,0.557,1,"0","PCDH7"
"AC072062.1",0.000664219182547212,0.510442005462853,0.133,0.03,1,"0","AC072062.1"
"EDEM1",0.000669310945776518,0.398823584274582,0.102,0.015,1,"0","EDEM1"
"C6orf1",0.000669310945776518,1.61077713979688,0.102,0.015,1,"0","C6orf1"
"TRDMT1",0.000669310945776518,0.482506411567995,0.102,0.015,1,"0","TRDMT1"
"IFNGR1",0.000672945689373564,0.238814941087817,0.163,0.045,1,"0","IFNGR1"
"ARHGEF9",0.000674035662089725,1.01875581043995,0.122,0.025,1,"0","ARHGEF9"
"FAM111B",0.000675412424009634,0.561023345063833,0.173,0.05,1,"0","FAM111B"
"ZNF696",0.000677672608666165,0.532817908053255,0.143,0.035,1,"0","ZNF696"
"TNFRSF18",0.000678226749707187,0.218047645297158,0.184,0.055,1,"0","TNFRSF18"
"ZZEF1",0.000678226749707187,0.586072441358646,0.184,0.055,1,"0","ZZEF1"
"ARHGEF10L",0.000679255733546607,0.556465796704642,0.102,0.015,1,"0","ARHGEF10L"
"GORAB",0.000679255733546607,0.404347022001912,0.102,0.015,1,"0","GORAB"
"CNIH3",0.000679255733546607,1.29366885194508,0.102,0.015,1,"0","CNIH3"
"RP11-384K6.6",0.000679255733546607,0.621712054463434,0.102,0.015,1,"0","RP11-384K6.6"
"CTD-2091N23.1",0.000679255733546607,1.17374363360248,0.102,0.015,1,"0","CTD-2091N23.1"
"PAX2",0.000679255733546607,0.573272549924071,0.102,0.015,1,"0","PAX2"
"NEU3",0.000679255733546607,0.73636445710623,0.102,0.015,1,"0","NEU3"
"OVOL2",0.000679255733546607,0.541016076113686,0.102,0.015,1,"0","OVOL2"
"SH3BP4",0.000680602598888017,0.519782692290362,0.235,0.085,1,"0","SH3BP4"
"AC007246.3",0.000684455476489257,0.1204272050185,0.153,0.04,1,"0","AC007246.3"
"PLOD3",0.000689447127365113,0.148537804510152,0.204,0.065,1,"0","PLOD3"
"QSOX2",0.000689447127365113,0.595254951355947,0.204,0.065,1,"0","QSOX2"
"COPS7B",0.000697321643835103,0.722307974443517,0.204,0.07,1,"0","COPS7B"
"HIST1H3J",0.000697450516890649,1.33460456986901,0.112,0.02,1,"0","HIST1H3J"
"C18orf54",0.000697450516890649,1.60796717526797,0.112,0.02,1,"0","C18orf54"
"CARD10",0.000697762792966826,0.545666099280128,0.133,0.03,1,"0","CARD10"
"TSNARE1",0.000700775349311192,0.964335726296339,0.122,0.025,1,"0","TSNARE1"
"ALG12",0.000700775349311192,1.06830200640861,0.122,0.025,1,"0","ALG12"
"MFSD3",0.000706391244562451,1.34847767521045,0.133,0.03,1,"0","MFSD3"
"MPND",0.000707098048396333,0.734868774670475,0.112,0.02,1,"0","MPND"
"AJUBA",0.000709905429566411,0.321783212662478,0.122,0.025,1,"0","AJUBA"
"GALNT6",0.000710255278870992,1.34284897254559,0.143,0.035,1,"0","GALNT6"
"UBE2D1",0.000711177847435152,0.184005441366901,0.235,0.085,1,"0","UBE2D1"
"ETAA1",0.000716869462915465,0.616266604586742,0.112,0.02,1,"0","ETAA1"
"FOXP4",0.000716869462915465,1.33086007999417,0.112,0.02,1,"0","FOXP4"
"TBX18",0.000716869462915465,1.40446596706638,0.112,0.02,1,"0","TBX18"
"ZNF202",0.000716869462915465,0.677257425293309,0.112,0.02,1,"0","ZNF202"
"RP5-1021I20.5",0.000716869462915465,0.957511823185767,0.112,0.02,1,"0","RP5-1021I20.5"
"TC2N",0.000716869462915465,0.113881352064666,0.112,0.02,1,"0","TC2N"
"ITFG3",0.000716869462915465,0.247735497904134,0.112,0.02,1,"0","ITFG3"
"MLLT1",0.000716869462915465,1.80366789424176,0.112,0.02,1,"0","MLLT1"
"IRAK1BP1",0.000719149285264673,0.432789952109851,0.173,0.05,1,"0","IRAK1BP1"
"ANKRA2",0.000726766210756078,0.220524922320549,0.112,0.02,1,"0","ANKRA2"
"ZFPM2",0.000727087009547223,0.418181593944542,0.143,0.035,1,"0","ZFPM2"
"NR3C1",0.000732209087641936,0.534142836294578,0.153,0.04,1,"0","NR3C1"
"GEMIN7",0.000732925533352845,0.751376213092632,0.184,0.06,1,"0","GEMIN7"
"VPS13C",0.000734303418598569,0.602356937304264,0.173,0.05,1,"0","VPS13C"
"PAK4",0.000739120538124733,0.250074395293689,0.214,0.075,1,"0","PAK4"
"RAB17",0.000741774061174888,0.403079535294326,0.163,0.045,1,"0","RAB17"
"CTA-714B7.5",0.000741774061174888,1.28898409245965,0.163,0.045,1,"0","CTA-714B7.5"
"MADD",0.000747542243002071,0.927122239244725,0.122,0.025,1,"0","MADD"
"OSGEP",0.000748012791338678,0.975876020567353,0.194,0.065,1,"0","OSGEP"
"BNIP3L",0.000748802604119528,0.402349740733661,0.153,0.04,1,"0","BNIP3L"
"LIG4",0.000751040293420597,0.520534115550171,0.133,0.03,1,"0","LIG4"
"UGT8",0.000753030512321577,0.692383489904482,0.143,0.035,1,"0","UGT8"
"CCND3",0.00075507963370359,0.813182193352096,0.184,0.06,1,"0","CCND3"
"GYLTL1B",0.000757591583032371,0.525998266257624,0.173,0.05,1,"0","GYLTL1B"
"HIST1H2AM",0.000760278855878276,0.691927850137554,0.133,0.03,1,"0","HIST1H2AM"
"PPP1R12C",0.000760278855878276,0.749737113776008,0.133,0.03,1,"0","PPP1R12C"
"TOP3A",0.000762565373751529,0.807403526021339,0.194,0.065,1,"0","TOP3A"
"TYK2",0.000766132861898047,0.524242064764058,0.163,0.045,1,"0","TYK2"
"TRMT2B",0.000778181769393501,1.92548962883528,0.112,0.02,1,"0","TRMT2B"
"HSPB1",0.000780394861968434,0.165545333081821,0.847,0.458,1,"0","HSPB1"
"MESP1",0.000787871148232177,0.577836438293143,0.204,0.07,1,"0","MESP1"
"POLI",0.00078863150480235,0.325923591027655,0.133,0.03,1,"0","POLI"
"ANKAR",0.000788861823993799,1.634430582925,0.112,0.02,1,"0","ANKAR"
"RP6-114E22.1",0.000788861823993799,0.926195672451124,0.112,0.02,1,"0","RP6-114E22.1"
"KIFAP3",0.000788960081154521,0.254971545466601,0.143,0.035,1,"0","KIFAP3"
"GALM",0.00079719394281095,1.09734105703189,0.122,0.025,1,"0","GALM"
"PIGG",0.000798187803923892,0.491562482581815,0.143,0.035,1,"0","PIGG"
"MEGF9",0.000798298394477387,0.762582531820252,0.133,0.03,1,"0","MEGF9"
"BBS9",0.000799677792011807,0.773593404667078,0.112,0.02,1,"0","BBS9"
"IL17RB",0.000802861387782534,3.8308318354798,0.071,0.005,1,"0","IL17RB"
"ZNF354B",0.000802861387782534,3.5400225392927,0.071,0.005,1,"0","ZNF354B"
"ZNF487",0.000802861387782534,3.57880319062865,0.071,0.005,1,"0","ZNF487"
"MOGS",0.000806115732458947,0.326352022244866,0.194,0.06,1,"0","MOGS"
"KIAA0430",0.000806115732458947,0.351417310359349,0.194,0.06,1,"0","KIAA0430"
"TSPYL2",0.000807484519656421,0.468189183500377,0.122,0.025,1,"0","TSPYL2"
"HDAC7",0.000809669645777394,0.937765030699565,0.153,0.04,1,"0","HDAC7"
"SRGAP3",0.000810631247610262,1.24903977664776,0.112,0.02,1,"0","SRGAP3"
"CCAT1",0.000810631247610262,0.449069273520301,0.112,0.02,1,"0","CCAT1"
"ZNF720",0.000810631247610262,0.95342033899884,0.112,0.02,1,"0","ZNF720"
"SLC16A5",0.000810631247610262,1.14464851296378,0.112,0.02,1,"0","SLC16A5"
"TTYH2",0.000817093759530939,0.249589237923387,0.163,0.045,1,"0","TTYH2"
"VPS37D",0.000817771236832492,3.41630761947611,0.071,0.005,1,"0","VPS37D"
"LEPRE1",0.000817898244919631,0.296405596855865,0.122,0.025,1,"0","LEPRE1"
"TMEM182",0.000817898244919631,0.233735754341485,0.122,0.025,1,"0","TMEM182"
"FAM222A-AS1",0.000817898244919631,0.263558421021124,0.122,0.025,1,"0","FAM222A-AS1"
"RAB26",0.000817898244919631,0.875926753327851,0.122,0.025,1,"0","RAB26"
"MON1B",0.000817898244919631,1.42759947531781,0.122,0.025,1,"0","MON1B"
"RP1-78O14.1",0.000818126743919131,0.743004522212205,0.204,0.065,1,"0","RP1-78O14.1"
"RP11-159D12.2",0.000818730514460979,0.170480176952254,0.153,0.04,1,"0","RP11-159D12.2"
"PHF13",0.000821723781034533,0.764500856554036,0.112,0.02,1,"0","PHF13"
"SYTL1",0.000821723781034533,0.499538056633463,0.112,0.02,1,"0","SYTL1"
"ZBED3-AS1",0.000821723781034533,0.271725106524344,0.112,0.02,1,"0","ZBED3-AS1"
"EIF3H",0.000821893985235798,0.195226528184736,0.949,0.517,1,"0","EIF3H"
"ST6GAL1",0.000829956981734597,0.521327543950403,0.194,0.06,1,"0","ST6GAL1"
"SPATA6",0.00083295699874881,0.309641541669251,0.112,0.02,1,"0","SPATA6"
"MTRNR2L1",0.000834815882290508,0.122669994151414,0.347,0.144,1,"0","MTRNR2L1"
"MGST2",0.000838076087970664,0.541990592114258,0.133,0.03,1,"0","MGST2"
"PPP2R3C",0.000840264189475262,0.138301039986415,0.173,0.05,1,"0","PPP2R3C"
"CYB5D2",0.000846480685154424,0.147829946343424,0.153,0.04,1,"0","CYB5D2"
"PDLIM7",0.00084763997222038,0.290195315657979,0.296,0.124,1,"0","PDLIM7"
"CTAGE5",0.000848303805499187,0.801062127919454,0.133,0.03,1,"0","CTAGE5"
"IL10RB",0.00084989178426135,0.944525112290191,0.122,0.025,1,"0","IL10RB"
"TMED1",0.000857771834626679,0.113334736035935,0.173,0.05,1,"0","TMED1"
"DUSP3",0.000858647181655043,1.13186759132485,0.133,0.03,1,"0","DUSP3"
"CEP89",0.000858647181655043,0.521957271727833,0.133,0.03,1,"0","CEP89"
"MCOLN3",0.000860811641006402,1.21250745351113,0.122,0.025,1,"0","MCOLN3"
"LAMA5",0.000865639973934283,0.345775284588846,0.143,0.035,1,"0","LAMA5"
"ZNF160",0.000871861480199791,1.40890838912727,0.122,0.025,1,"0","ZNF160"
"TICRR",0.000878689648497213,0.442850239887833,0.214,0.075,1,"0","TICRR"
"TBX19",0.00088001661419576,2.88729632842186,0.071,0.005,1,"0","TBX19"
"QPCTL",0.00088001661419576,2.78755679440998,0.071,0.005,1,"0","QPCTL"
"TMEM192",0.000885861184183487,0.510310971796849,0.143,0.035,1,"0","TMEM192"
"LNPEP",0.000889940576166485,0.839262263448491,0.163,0.045,1,"0","LNPEP"
"DZIP1L",0.000890383206740984,0.545467825698016,0.133,0.03,1,"0","DZIP1L"
"HNRNPC",0.000890885188823524,0.265031682562999,0.98,0.652,1,"0","HNRNPC"
"RUNX3",0.000894676977361458,0.470163617070273,0.153,0.04,1,"0","RUNX3"
"WDR96",0.000896249939942834,2.66277936929478,0.071,0.005,1,"0","WDR96"
"SDCBP2-AS1",0.000896249939942834,2.92678492506077,0.071,0.005,1,"0","SDCBP2-AS1"
"DZANK1",0.000896249939942834,2.73893350379792,0.071,0.005,1,"0","DZANK1"
"ZNF175",0.000896249939942834,2.52840144061395,0.071,0.005,1,"0","ZNF175"
"COPG2",0.00090120121640089,0.951252782467242,0.133,0.03,1,"0","COPG2"
"GPR98",0.000905805021942778,0.254251533543238,0.122,0.025,1,"0","GPR98"
